"age.yr.bp","temperature","temperature.rescaled"
159,-31.7368639637302,-1.7389584799756
160,-31.7491257743819,-1.73799223034372
161,-31.7605510126337,-1.73709190391
162,-31.7719821998569,-1.73619110868814
163,-31.7834133870802,-1.73529031346627
164,-31.7948445743035,-1.73438951824441
165,-31.8062497059478,-1.73349077624244
166,-31.812778354451,-1.73297630864934
167,-31.8149907980026,-1.73280196467781
168,-31.8172114787345,-1.73262697160373
169,-31.8194321594664,-1.73245197852965
170,-31.8216528401983,-1.73227698545557
171,-31.8238916555767,-1.73210056334331
172,-31.8241707675033,-1.73207856889209
173,-31.8178688326041,-1.73257517110276
174,-31.8110286472723,-1.73311418827947
175,-31.8041889862237,-1.73365316414186
176,-31.797349325175,-1.73419214000425
177,-31.7905096641264,-1.73473111586664
178,-31.7836700030777,-1.73527009172903
179,-31.7768573766818,-1.735806937219
180,-31.7724409433562,-1.73615495899134
181,-31.7698594039314,-1.73635838828818
182,-31.7672682444659,-1.7365625756591
183,-31.7646770850003,-1.73676676303002
184,-31.7620859255348,-1.73697095040095
185,-31.7594947660692,-1.73717513777187
186,-31.7568844011428,-1.7373808385628
187,-31.7568199052902,-1.73738592093568
188,-31.7606189329455,-1.73708655168445
189,-31.7644893895097,-1.7367815537248
190,-31.7683598460739,-1.73647655576515
191,-31.772230302638,-1.7361715578055
192,-31.7761007592022,-1.73586655984586
193,-31.7799698044289,-1.73556167310179
194,-31.784057681681,-1.73523954205587
195,-31.7884575644223,-1.73489282449516
196,-31.7928623833718,-1.73454571795361
197,-31.7972672023213,-1.73419861141205
198,-31.8016720212708,-1.7338515048705
199,-31.8060768402204,-1.73350439832895
200,-31.8104934449732,-1.73315636304787
201,-31.8126975057275,-1.73298267965372
202,-31.8119553021045,-1.7330411664464
203,-31.811175672316,-1.73310260247878
204,-31.8103960425274,-1.73316403851116
205,-31.8096164127388,-1.73322547454353
206,-31.8088367829503,-1.73328691057591
207,-31.8080571882846,-1.73334834384055
208,-31.8072612479512,-1.73341106516907
209,-31.8063086199595,-1.73348613372725
210,-31.8053165939365,-1.73356430691119
211,-31.8043248892486,-1.73364245477344
212,-31.8033331845606,-1.73372060263568
213,-31.8023414798726,-1.73379875049793
214,-31.8013497751846,-1.73387689836017
215,-31.80041739876,-1.73395037106357
216,-31.801199986375,-1.7338887019499
217,-31.8028633636216,-1.73375762525185
218,-31.8045182995592,-1.73362721374201
219,-31.8061732354968,-1.73349680223217
220,-31.8078281714344,-1.73336639072233
221,-31.8094831073719,-1.73323597921249
222,-31.8111384708458,-1.73310553401213
223,-31.8126516947038,-1.7329862896332
224,-31.8130143600903,-1.73295771104019
225,-31.8131274917713,-1.73294879608886
226,-31.813242386637,-1.73293974219585
227,-31.8133572815027,-1.73293068830285
228,-31.8134721763684,-1.73292163440985
229,-31.8135870712341,-1.73291258051684
230,-31.813702214666,-1.73290350703644
231,-31.8137402402983,-1.73290051055783
232,-31.8131828581787,-1.73294443313038
233,-31.8125027480461,-1.73299802686004
234,-31.8118234543055,-1.73305155625676
235,-31.8111441605649,-1.73310508565347
236,-31.8104648668242,-1.73315861505019
237,-31.8097855730836,-1.7332121444469
238,-31.809107573296,-1.73326557187812
239,-31.8081172510944,-1.7333436107983
240,-31.8067420455717,-1.73345197911909
241,-31.8053634150507,-1.73356061733502
242,-31.8039847845298,-1.73366925555096
243,-31.8026061540089,-1.73377789376689
244,-31.801227523488,-1.73388653198283
245,-31.7998350493314,-1.73399626109865
246,-31.7999755479739,-1.73398518958846
247,-31.8027813723482,-1.73376408629093
248,-31.8056583442379,-1.73353737645922
249,-31.8085353161276,-1.73331066662751
250,-31.8114122880172,-1.73308395679579
251,-31.8142892599069,-1.73285724696408
252,-31.8171662317965,-1.73263053713237
253,-31.8200529335564,-1.73240306057185
254,-31.8246671000786,-1.73203945711799
255,-31.8307947360837,-1.73155658992958
256,-31.8369190040215,-1.73107398815007
257,-31.8430432719594,-1.73059138637056
258,-31.8491675398972,-1.73010878459106
259,-31.855291807835,-1.72962618281155
260,-31.8614160757729,-1.72914358103204
261,-31.867351592796,-1.72867585311636
262,-31.8684404143161,-1.72859005229764
263,-31.867182540608,-1.72868917469007
264,-31.8659475913956,-1.72878649059681
265,-31.8647126421832,-1.72888380650355
266,-31.8634776929708,-1.7289811224103
267,-31.8622427437584,-1.72907843831704
268,-31.8609957311929,-1.72917670483466
269,-31.8571584161683,-1.72947909118976
270,-31.8509732350098,-1.7299664930252
271,-31.844790829217,-1.73045367615754
272,-31.8386084234242,-1.73094085928988
273,-31.8324260176315,-1.73142804242222
274,-31.8262436118387,-1.73191522555455
275,-31.8200582642128,-1.73240264050788
276,-31.814317566122,-1.73285501639058
277,-31.8107380124053,-1.73313709075621
278,-31.8074348412832,-1.7333973857462
279,-31.8041308276225,-1.73365774712953
280,-31.8008268139617,-1.73391810851286
281,-31.797522800301,-1.73417846989619
282,-31.7942187866403,-1.73443883127952
283,-31.7909144534863,-1.73469921783941
284,-31.7878007131283,-1.73494458539239
285,-31.786670282167,-1.73503366509939
286,-31.7860678640792,-1.73508113657584
287,-31.785460938854,-1.73512896322169
288,-31.7848540136288,-1.73517678986753
289,-31.7842470884035,-1.73522461651338
290,-31.7836401631783,-1.73527244315922
291,-31.7830332379531,-1.73532026980507
292,-31.7824256397607,-1.73536814948177
293,-31.7825149871475,-1.73536110876959
294,-31.7833577277933,-1.73529469950411
295,-31.7842032504461,-1.73522807101218
296,-31.785048773099,-1.73516144252025
297,-31.7858942957518,-1.73509481402832
298,-31.7867398184047,-1.73502818553639
299,-31.7875840073046,-1.73496166214625
300,-31.7885846191121,-1.73488281238922
301,-31.7901749042704,-1.73475749546071
302,-31.7918228815497,-1.7346276323039
