"Published.age","Published.temperature","Sed.acc.rate.cm.ka","Proxy.value"
18196.7544,27.15,31.96,3.674
18272.4737,26.27,32.04,3.379
18348.193,27.81,32.05,3.909
18461.7719,26.51,32.03,3.456
18537.4912,27.8,31.98,3.906
18651.0702,26.52,31.86,3.459
18726.7895,27.26,31.77,3.712
18840.3684,26.26,31.57,3.375
18916.0877,27.13,31.46,3.667
18991.807,26.59,31.3,3.482
19067.5263,26.66,31.16,3.505
19181.1053,26.37,30.93,3.411
19256.8246,27.19,30.8,3.685
19332.5439,26.92,30.67,3.593
19408.2632,26.53,30.55,3.462
19483.9825,26.6,30.44,3.487
19597.5614,26.42,30.28,3.425
19673.2807,26.84,30.2,3.566
19800,27.1,30.13,3.656
19840,26.23,30.11,3.367
19890,26.85,30.08,3.571
19940,26.56,30.08,3.473
20010,25.84,30.06,3.243
20130,26.41,30.05,3.424
20170,26.66,30.08,3.506
20220,26.37,30.08,3.411
20270,27.07,30.08,3.645
20340,26.69,30.1,3.515
20380,27.42,30.13,3.767
20410,27.01,30.15,3.624
20560,26.89,30.26,3.583
20650,26.89,30.33,3.581
20740,27.03,30.38,3.632
20830,26.8,30.47,3.552
